szczegółowo	in detail
rzucać palenie (nie: stop, give up)	to quit smoking
być zdrowym	to be healthy
na uniwersytecie	at the university
piec ciasto	to bake a cake
Dzięki za coś...	Thanks for sth
impreza urodzinowa	a birthday party
zadzwonić (o budziku)	to go off {2}
zasypiać do pracy	to oversleep for work
alarm	an alarm
być w formie [2]	to be fit; to be in shape
zaczynać uprawiać sport	to take up a sport
rzecznik policji	a police spokesperson
potwierdzać coś	to confirm sth
złodziej	a thief
pracować nad czymś	to work on sth
wyrażać wdzięczność	to express your gratitude
z powołania	by vocation
na rowerze	on the bike
w deszczu	in the rain
w wodzie	in the water
na ścianie	on the wall
na stronie dziesiątej	at the page 10
w kinie	at the movies
w helikopterze	in the helicopter
w ogrodzie	in the garden
na lekcji	in class
u fryzjera	at the hairdresser’s
w hotelu	at the hotel
na statku	on the ship
w rzece	in the river
w windzie	in the elevator
w domu	at home
w taksówce	in the taxi
na stadionie	at the stadium
na lotnisku	at the airport
na niebie	in the sky
w łóżku	in bed
w klubie	at the club
w kuchni	in the kitchen
na wybrzeżu	on the coast
u lekarza	at the doctor's
w gazecie	in a newspaper
po prawej	on the right
na uczelni	at university
na półce	on the shelf
w łódce	in the boat
w drodze	on the way
z tyłu samochodu	in the back of the car
w telewizji	on TV
na ulicy	on the street
na rogu	at the corner
w szkole	at school
w kolejce	in line
w pudełku	in the box
na suficie	on the ceiling
na ślubie	at the wedding
w Warszawie	in Warsaw
na dywanie	on the carpet
po lewej	on the left
w mieście	in town
w menu	on the menu
w parku	at the park
na biurku	on my desk
przy wejściu	at the entrance
u mojego znajomego	at my friend's
w portfelu	in my wallet
na farmie	on the farm
w pokoju	in the room
na stole	on the table
przy biurku	at the desk
na drzwiach	on the door
na podłodze	on the floor
w rogu pokoju	in the corner of the room
na środku ogrodu	in the middle of the garden
w korku	in a traffic jam
na krześle	in the chair
w książce	in the book
na górze strony	at the top of the page
w banku	at the bank
na końcu drogi	at the end of the road
w koszu	in the bin
na wsi	in the country
w radiu	on the radio
w teatrze	at the theater
w kieszeni	in my pocket
na skrzyżowaniu dwóch ulic	at the intersection of two streets
w więzieniu	in prison
w sypialni	in the bedroom
na dole strony	at the bottom of the page
w lustrze	in the mirror
przy drzwiach	at the door
przed szkołą	in front of the school
na końcu odcinka	at the end of the episode
w Polsce	in Poland
na przystanku	at the bus stop
w budynku	in the building
w łazience (na mieście)	in the restroom
jechać do szpitala	to go to the hospital
3. listopada	on November 3 (third)
w następny poniedziałek	next Monday
1. września	on September 1 (first)
w tym tygodniu	this week
w ten czwartek	this Thursday
wiosną	in spring
latem	in summer
w każdą środę	every Wednesday
w zeszły piątek	last Friday
na jesieni	in fall
w każdy poniedziałek	every Monday
co drugi dzień	every other day
rano	in the morning
w następny wtorek	next Tuesday
w maju	in May
w lipcu	in July
w zeszłym roku	last year
w listopadzie	in November
we wtorek	on Tuesday
w zeszły wtorek	last Tuesday
w zeszły czwartek	last Thursday
w styczniu	in January
w poniedziałek	on Monday
w tę niedzielę	this Sunday
w tygodniu	in the week
tamtego dnia	on that day
w południe	at noon
w każdą niedzielę	every Sunday
w niedzielę	on Sunday
w piątek	on Friday
w każdą sobotę	every Saturday
w zeszłą środę	last Wednesday
2. października	on October 2 (second)
w każdy czwartek	every Thursday
w przyszłą niedzielę	next Sunday
co tydzień	every week
wieczorem	in the evening
w tą sobotę	this Saturday
w lutym	in February
w marcu	in March
w kwietniu	in April
zimą	in winter
w nocy [2]	at night; in the night
w ten poniedziałek	this Monday
co miesiąc	every month
w sobotę	on Saturday
co wtorek	every Tuesday
co piątek	every Friday
co rok	every year
w środę	on Wednesday
o 15	at 3 pm
w grudniu	in December
w zeszły poniedziałek	last Monday
w następny czwartek	next Thursday
w czwartek	on Thursday
w czerwcu	in June
w ten wtorek	this Tuesday
4. grudnia	on December 4 (fourth)
popołudniu	in the afternoon
za dnia	by day
w 2019 roku	in 2019
w zeszłym miesiącu	last month
w następną sobotę	next Saturday
w następny piątek	next Friday
w przyszłym roku	next year
w zeszłą niedziela	last Sunday
w zeszłą sobotę	last Saturday
w tę środę	this Wednesday
w październiku	in October
w 2020 roku	in 2020
we wrześniu	in September
w sierpniu	in August
płaca minimalna	the minimum wage
właśnie	just {2}
już	already
pochwalać coś	to approve of sth
detektyw	a detective
podczas przesłuchania (świadka)	during questioning
widzieć coś	to see sth
na obiad	for lunch
gasić pożar	to put out the fire
wzywać służby ratownicze	to call the emergency services
natychmiast coś robić	to immediately do sth
dotrzymywać obietnic	to keep your promises
mówić płynnie po angielsku	to speak English fluently
przeprowadzać się za granicę	to move abroad
zgadzać się z kimś	to agree with sb
być świadomym czegoś	to be aware of sth
pewne fakty	certain facts
siedzieć w więzieniu [2]	to do time; to serve a sentence
odwoływać się od decyzji sądu	to appeal the court's decision
żądać, żeby...	to demand that...
oddalać sprawę	to dismiss a case
doprowadzać kogoś do szleństwa	to drive sb crazy
być wrakiem	to be a wreck
brać narkotyki (nie: take, dope)	to do drugs
przez ostatni rok	for the past year
wstawać wcześnie	to get up early
dbać o środowisko	to take care of the environment
środowisko	the environment
na co dzień	on a daily basis
gatunek	a species
wyginąć	to die out
zamawiać frytki	to order French fries
być pełnym	to be full
premier	the prime minister
ustępować ze stanowiska	to step down
prezes	the president {2}
zostać pociągniętym do odpowiedzialności	to be held responsible
czytać między wierszami	to read between the lines
dostawać mandat	to get a ticket
przekraczać dozwoloną prędkość	to be speeding
dawać komuś informację zwrotną	to give sb feedback
robić śniadanie	to make breakfast
pasażer	a passenger
kierowca	a driver
ostro hamować	to slam on the brakes
wyciągać pochopne wnioski na jakiś temat	to jump to conclusions about sth
być na czymś skupionym	to be focused on sth
rozmowa	a conversation
z wyprzedzeniem rezerwować bilety	to book tickets in advance
podsłuchiwać rozmowę [2]	to eavesdrop on a conversation; to listen in on a conversation
podejmować odpowiednie kroki	to take appropriate steps
podejmować kroki	to take steps
skopać komuś tyłek	to kick sb's ass
rozpowiadać plotki	to spread gossip
ostatnio	the other day
śmiać się z czegoś	to laugh at sth
brać kogoś na poważnie	to take sb seriously
od czasu do czasu	from time to time
być rozpieszczonym	to be spoiled
dawać komuś dobry przykład	to set a good example for sb
kończyć studia na kierunku finanse	to graduate in Finance
kończyć ekonomię	to graduate in Economics
kończyć studia na jakimś kierunku	to graduate in sth
aresztować kogoś za coś	to arrest sb for sth
zwracać komuś pieniądze	to refund sb's money
mieć niską samoocenę	to have low self-esteem
być dręczonym	to be bullied
znęcać się nad kimś	to bully sb
jako nastolatek	as a teenager
zeznawać w sądzie	to testify in court
szantażować kogoś	to blackmail sb
czekać na kogoś	to wait for sb
twój kolega	a friend of yours
mój kolega	a friend of mine
być w czymś beznadziejnym	to be terrible at sth
podrywać kobiety	to pick up women
być oburzonym	to be outraged
ostrzegać kogoś przed czymś [2]	to warn sb about sb; to warn sb of sb
zapominać	to forget
być słabym z czegoś	to be bad at sth
słuchać innych	to listen to others
zarząd	the management board
przekraczać budżet	to go over budget
Byłbym wdzięczny, gdyby...	I'd be grateful if...
robić komuś przysługę	to do sb a favor
dyrektor szkoły	the school principal
Zastanawiałem się, czy...	I was wondering if...
jakiś czas temu	a while ago
wybaczać komuś	to forgive sb
próbować coś zrobić	to try to do sh
przekupywać kogoś	to bribe sb
wygrywać z kimś	to win against sb
podsłuchiwać rozmowę	to eavesdrop on a conversation; to listen in on a conversation
chować urazę do kogoś	to hold a grudge against sb
ośmieszać kogoś	to ridicule sb
na oczach swoich przyjaciół	in front of your friends
sprzątać swoje mieszkanie	to clean your apartment
właściciel firmy	the company's owner
być przepracowanym	to be overworked
odpoczywać	to take a rest
w weekendy	on weekends
właściciel (wynajmujący mieszkanie)	a landlord
składa się z dwóch części	to consist of two parts
projekt	a project
cierpieć na coś	to suffer from sth
profesor	a professor
pisać wypracowanie	to write an essay
Gdyby tylko...	I wish that...; If only...
korek	a traffic jam
w twoim imieniu	on your behalf
w różnym tempie	at a different pace
przerwa	a break
planować przerwę (nie: plan)	to schedule a break
hamulec	a brake
nauczyciel	a teacher
przeprowadzać się do innego miasta	to move to a different city
linia montażowa	the assembly line
dostarczać towary	to deliver the goods
mieć problem z zasypianiem	to have trouble falling asleep
odpakowywać prezent	to unwrap a gift
narzędzie	a tool
być zrobionym ze stali nierdzewnej	to be made of stainless steel
rdzewieć	to get rusty
przepraszać kogoś za coś	to apologize to sb for sth
być czymś zmęczonym	to be tired of sth
robić z kimś interesy	to do business with sb
żyć blisko kogoś	to live close to sb
być sprawiedliwym (nie: fair)	to be just
zbierać wiedzę o czymś	to gather knowledge of sth
spać z kimś	to sleep with sb
przechowywać swoje dane w chmurze	to store your data in the cloud
przywracać dane	to restore data
znać prawdę	to know the truth
odnosić się do czegoś	to refer to sth
artykuł	an article
być możliwym	to be possible
sugerować, że...	to suggest that...
wychodzić wcześniej	to leave earlier
osoba bezrobotna	an unemployed person
być bezrobotnym	to be unemployed
w naszym miasteczku	in our town
fabryka	a factory
zostawać zamkniętym	to shut down
niedawno	recently
zakładać własną firmę	to set up your own company
zakładać swoją własną firmę	to set up my own company
dorastać	to grow up
iść na uniwersytet	to go to college
operować kogoś	to operate on sb
wystawiać fakturę	to issue an invoice
na swoim kocie bankowym	in your bank account
lekarz	a doctor
badać pacjenta	to examine a patient
firma	a company
być przyjaznym dla środowiska	to be environment-friendly
przeprowadzać badania na zwierzętach	to conduct tests on animals
wyglądać dobrze	to look good
być wartym obejrzenia	to be worth watching
być wartym robienia czegoś	to be worth doing sth
wygrywać nagrodę	to win a prize
jak dotąd	so far
zespół	a team
mieć zły sen	to have a bad dream
gotować	to cook
uczyć kogoś, jak coś robić	to teach sb how to do sth
mieć ból pleców	to have back pain
ryzykować utratą pracy	to risk your job
siedzieć w domu	to sit at home
zapominać coś	to forget sth
męskie spodenki kąpielowe	swim trunks
prowadzić swoją własną firmę	to run your own company
mieć problem	to have a problem
być ciekawym	to be curious
tracić swój czas	to waste your time
na zewnątrz	outside
leżeć na plaży	to lie on the beach
odwoływać lot	to cancel a flight
dobrze się bawić (nie: fun)	to have a good time
być podejrzanym o coś	to be suspected of sth
dokonywać kradzieży	to commit theft
być spłukanym	to be broke
imprezować	to party
dojeżdżać do pracy	to commute to work
mieszkać w mieście	to live in the city
ćwiczyć	to exercise
zapisywać się na zajęcia z jogi	to sign up for yoga classes
uczyć się angielskiego	to learn English
dawać komuś zastrzyk	to give sb an injection
trząść się	to tremble
dostać zatrucia pokarmowego	to get food poisoning
czuć się źle	to feel bad
wyrzucać swoje ubrania	to throw away your clothes
oddawać coś na cele charytatywne	to give sth to charity
mieć odrę	to have measles
mieć wysypkę	to have a rash
mieć lekcję angielskiego	to have an English class
uderzać kogoś w twarz	to punch sb in the face
prowokować kogoś	to provoke sb
mówić coś komuś	to tell sb sth
ścielić łóżko	to make the bed
denerwować się na kogoś	to get mad at sb
słuchać muzyki	to listen to music
w tym samym czasie	at the same time
konserwant	a preservative
zwrot z inwestycji	a return on investment
nieskuteczna metoda	an ineffective method
oceniać coś	to assess sth
jeść słodycze	to eat candy
mieć problemy z sercem	to have heart problems
kilka razy w ciągu dnia	a few times a day
płacić podatki	to pay your taxes
spać spokojnie	to sleep peacefully
spojrzeć na coś	to take a look at sth
jeszcze raz	once again
zerkać na dokument	to take a look at a document
wyrzucać coś	to throw sth out
wyglądać przez okno	to look out the window
palić papierosa	to smoke a cigarette
biegać ulicą	to run down the street
bezpański pies	a stray dog
uprawiać seks	to have sex
słyszeć kogoś	to hear sb
być dobrym nauczycielem	to make a good teacher
sylaba	a syllable
Od teraz...	From now on...
raz w tygodniu	once a week
omawiać coś	to discuss sth
wątpić w coś	to doubt sth
składać wniosek	to file an application
podpisywać podanie	to sign an application
mieć potrzebne umiejętności	to have the necessary skills
wykonywać pracę	to do a job
pracować z ludźmi	to work with people
oszczędzać wodę	to save water
obniżać rachunki	to lower your bills
w nocy	at night
oczekiwać, że ktoś coś zrobi	to expect sb to do sth
zaczynać coś robić [2]	to start to do sth; to start doing sth
palić	to smoke
być pod presją rówieśników	to be under peer pressure
aplikować na stanowisko	to apply for a position
czytać maile	to read emails
karabin	a rifle
pisać coś (na komputerze lub telefonie)	to type sth
przeprowadzać test	to carry out a test
mieć problem z czymś	to have trouble doing sth
mieć problemy ze snem	to have trouble sleeping
mieć kłopoty z oddychaniem	to have trouble breathing
bez problemu	without a problem
oglądać horror	to watch a horror
mieć rozmowę o pracę	to have a job interview
rekruter	a recruiter
mieć grypę	to have the flu
pomagać komuś coś robić	to help sb do sth
kłócić się	to have an argument
być upartym	to be stubborn
dawać koncert	to give a concert
za tydzień	in a week
sączyć drinka	to sip a drink
wydawać pieniądze na niepotrzebne rzeczy	to spend money on unnecessary things
decydować się	to make up your mind
żyć	to live
podobny przypadek	a similar case
czuć się bezpiecznie	to feel safe
pobierać próbki krwi	to take blood samples
badać próbki	to examine samples
nie mieć na kogoś żadnego wpływu	to have no influence on sb
sytuacja	a situation
mieć dostęp do pliku	to have access to a file
sprawdzać coś	to check sth
pobijać szkolny rekord	to beat the school record
pobijać rekord	to beat the record
wspierać kogoś	to support sb
mieć prawo coś zrobić	to have the right to do sth
przeglądać czyjś telefon	to look through sb's phone
zupa	soup
wkładać coś do lodówki	to put sth in the fridge
psuć się (o jedzeniu) (nie: off)	to go bad
buty	shoes
pasować na kogoś	to fit sb
włączać muzykę	to turn on the music
spać (nie: sleep)	to be asleep
zamieniać z kimś słowo	to have a word with sb
robić się podejrzliwym	to get suspicious
być blisko z kimś	to be close to sb
być pokornym	to be humble
rozkładać coś na części	to take sth apart
nowożeńcy	newly married
raz na jakiś czas	once in a while
nudzić się czymś	to get bored with sth
iść źle	to go wrong
martwić się	to worry
jedzenie	food
gość	a guest
być dobrze poinformowanym	to be well-informed
oglądać wiadomości	to watch the news
robić coś regularnie	to do sth regularly
ściągać na sprawdzianie	to cheat on the test
płakać	to cry
rozstanie	a breakup
Na szczęście...	Fortunately...
mieć udar	to have a stroke
mdleć	to faint
brać tabletki	to take pills
rozmawiać	to talk
mieć szansę, aby coś zrobić	to have the chance to do sth
przepraszać kogoś	to apologize to sb
troszczyć się o kogoś	to take care of sb
rozsiewać o kimś plotki	to spread rumors about sb
wchodzić do pokoju (nie: enter)	to come into the room
zwiększać swoją produktywność	to increase your productivity
w ostatnim kwartale	last quarter
bankrutować	to go bankrupt
mieć przerwę	to have a break
w końcu coś robić	to finally do sth
kontaktować się z klientem	to contact a client
dać radę coś zrobić	to manage to do sth
mieć spotkanie	to have a meeting
oglądać kreskówki	to watch cartoons
cały czas	all the time
pielgrzymka	a pilgrimage
pielgrzym	a pilgrim
papież	Pope
ksiądz	a priest
chór	a choir
w czyimś imieniu	on behalf of sb
podróż	a journey
na całym świecie	across the world
w całym mieście	across the city
w całej organizacji	across the organization
w całej firmie	across the company
pracować na pełen etat	to work full-time
pracować na część etatu	to work part-time
mieć ból gardła	to have a sore throat
załatwiać sprawy (nie: run)	to do errands
mieć nad czym popracować	to have room for improvement
W porównaniu do ciebie...	Compared to you...
W porównaniu do mnie...	Compared to me...
W porównaniu do...	Compared to...
mieć szczęście	to be lucky
być zadowolonym z czegoś (nie: satisfied)	to be happy about sth
cieszyć się czyimś szczęściem	to be happy for sb
być niebezpiecznym	to be dangerous
mieć wpływ na kogoś	to have influence on sb
przyciągać czyjąś uwagę	to attract sb's attention
być przekonującym	to be convincing
satysfakcjonująca oferta	a satisfying offer
park rozrywki	a theme park
radzić sobie z czymś	to deal with sth
podnosić śmieci	to pick up rubbish
kruk	a crow
zapełniać czymś wiadro	to fill a bucket with sth
zostawać w tyle	to lag
być naturalnym	to be natural
martwić się o coś	to be worried about sth
mieć raka	to have cancer
płacić za leczenie	to pay for treatment
przekazać coś na cele charytatywne	to donate sth to charity
zbierać na coś pieniądze	to raise money for sth
zbierać pieniądze	to raise money
w twojej pracy	in your job
siniak	a bruise
rozsądne rozwiązanie	a reasonable solution
grupa wsparcia	a support group
wylądować u ciebie	to end up at your place
poważne badania	a major study
zmniejszać coś (nie: reduce)	to lower sth
rezultat	findings
prowadzić do czegoś	to lead to sth
problem ze zdrowiem psychicznym	a mental health problem
nalegać na robienie czegoś	to insist on doing sth
uzależnienie od czegoś	an addiction to sth
nadużywanie	an overuse
rodzinne więzi	family bonds
długowieczność	longevity
wzniecać coś	to spark sth
grawerować coś	to engrave sth
prawdziwy przyjaciel	a genuine friend
napotkanie	an encounter
cytować coś	to quote sth
akademik	a dorm
narzeczony	a fiance
kłamstwo	a lie
krewny	a relative
być zawiedzionym	to be disappointed
w wypadku samochodowym	in a car accident
Okazało się że…	It turned out that...
być przerażonym	to be terrified
sprzedawać coś	to sell sth
wypłacać pieniądze	to withdraw money
aluminium	aluminum
stan zdrowia psychicznego	a mental health condition
niezawodność	reliability
zazdrość	envy
kumpel	a buddy
przywilej	a privilege
zanikać	to atrophy
małżonek	a spouse
przysłowie	a proverb
interesować się czymś (nie: interested, into)	to be keen on sth
głodować	to starve
zyskać szybką popularność (w Internecie)	to go viral
filmować coś	to film sth
foka	a seal
film dokumentalny	a documentary
przez kilka następnych dni	for the next few days
być zafascynowanym czymś	to be fascinated about sth
pawian	a baboon
ekscentryczna osoba (nie: eccentric)	a quirky person
być bezbronnym	to be vulnerable
samokontrola	self-control
zażyła relacja	an intimate relationship
występek	a misdeed
być wybrednym	to be picky
zamieniać się w coś (nie: change, turn)	to devolve into sth
wybredna osoba	a picky person
zaraźliwe emocje	contagious emotions
czuć się zaniepokojonym	to feel dismayed
czuć się rozczarowanym (nie: disappointed)	to feel disillusioned
czerpać coś	to derive sth
być nieuniknionym	to be inevitable
mit	a myth
bezwarunkowa miłość	unconditional love
nadmierna presja	undue pressure
pojęcie	a notion
lubić coś (nie: like)	to be fond of sth
być fantastycznym (nie: fantastic)	to be fabulous
czuć się niedowartościowanym	to feel inadequate
być gderliwym	to be cranky
składać skargę	to make a complaint
być męczącym	to be tiring
mieć kontakt z kimś	to have contact with sb
mieć kontakt z ludźmi	to have contact with people
ciągnąć się (o spotkaniu)	to drag on
w naszej firmie	in our company
rozwiązanie czegoś	a solution to sth
wciskać kogoś w grafik	to fit sb in to the schedule
płacić komuś	to pay sb
wchodzić do biura	to enter the office
zastępować kogoś	to cover for sb
podejmować się zadania	to take on a task
zmyślać historyjkę	to make up a story
wybuchać (o epidemii)	to break out
zalegać z rachunkami	to fall behind with the bills
iść biegać	to go running
wytropić złodzieja	to track down a thief
zawodzić kogoś	to let sb down
poruszać temat	to bring up a subject
zauważać, że...	to notice that...
schrzaniać zadanie	to screw up a task
podejmować się projektu	to take on a project
rozważać opcje	to weigh up the options
działać	to act
zapinać pasy	to fasten up
podsumowywać spotkanie	to wrap up a meeting
przeglądać dokumenty	to go through documents
przeprowadzać badania (nie: do)	to carry out research
kryć kogoś	to cover up for sb
wyładowywać się	to vent
nadrabiać pracę domową	to catch up on your homework
mieć coś wspólnego	to have sth in common
mieć z kimś coś wspólnego	to have sth in common with sb
wyróżniać się	to stand out
stresujące doświadczenie	a nerve-wracking experience
zatrudniać kogoś	to hire sb
dokonanie	an accomplishment
brzmieć znajomo	to sound familiar
branża	an industry
odpowiadać z pewnością siebie	to answer with confidence
środowisko pracy	a work environment
odcisk palca	a fingerprint
być obrażonym	to be offended
być szkodliwym dla zdrowia	to be harmful to health
być nieszkodliwym	to be harmless
być samolubnym	to be selfish
poważnym tonem	in a serious tone
pracować nad czymś przez kilka dni	to work on sth for days
przystępować teraz do działania	to act now
działać w oparciu o coś	to act on sth
działać razem	to act together
być kimś zainteresowanym (nie: interested, into)	to be attracted to sb
twój najlepszy przyjaciel	your best friend
nosić sukienkę	to wear a dress
rozważać czynniki	to weigh up factors
podejmować decyzję	to make a decision
wybuchać (o bombie)	to go off
budzić się	to wake up
słyszeć coś	to hear sth
narzekać na swoją pracę	to complain about your job
ograniczać palenie	to cut down on smoking
bronić swoich zasad	to stand up for your principles
odwoływać spotkanie	to call off a meeting
pozbywać się formalności	to do away with formalities
oszczędzać czas	to save time
dawać komuś kosza	to turn sb down
być w toksycznym związku	to be in a toxic relationship
skarżyć na kogoś	to tell on sb
wyluzować się	to chill out
robić coś źle	to do sth wrong
drukować coś	to print sth out
prosić kogoś o coś	to ask sb for sth
dokument	a document
rezygnować z pracy	to give up the job
przypominać komuś coś	to remind sb of sth
wygłupiać się	to mess around
traktować kogoś poważnie	to treat sb seriously
podłapać amerykański akcent	to pick up the American accent
wracać ze Stanów	to come back from the US
przeglądać dokumentacje	to go through documentation
wiercić się	to fidget
pacjent	a patient
robić coś z nudów	to do sth out of boredom
zwracać uwagę na coś	to pay attention to sth
zwracać uwagę	to pay attention
dług	a debt
pokonywać przeszkody	to get over obstacles
radzić sobie z problemem	to get over a problem
przeboleć coś	to get over sth
przezwyciężać chorobę	to get over an illness
być w czymś spójnym	to be consistent in sth
podnosić poprzeczkę	to raise the bar
mieszać coś	to mix sth up
zwracać się do kogoś po pomoc	to turn to sb for help
przebierać się	to dress up
dostawać się na imprezę	to get to a party
zagadywać do dziewczyny	to chat up a girl
przezwyciężać trudność	to get over a difficulty
być skoncentrowanym na czymś	to concentrate on sth
chcieć, żeby ktoś coś zrobił	to want sb to do sth
zamiast czegoś	instead of sth
po prostu coś robić	to do sth simply
patrzeć na kogoś z góry	to look down on sb
młodszy brat	a younger brother
pić coś do końca	to drink sth up
Za każdym razem, gdy...	Every time...
być obserwowanym	to be watched
przebrnąć przez papierkową robotę	to go through paperwork
sekretarka	a secretary
kierownik	a manager
być bombardowanym informacjami	to be bombarded with information
być skomplikowanym	to be complicated
zmniejszać znaczenie czegoś	to play down the significance of sth
Szkoda, że...	It's a shame that...
wysiłek	an effort
być spóźnionym	to be late
rozglądać się	to look around
asystent	an assistant
potrzebować pomocy	to need help
strona	a page
być zaginionym	to be missing
być pesymistycznym	to be pessimistic
odświeżać się	to freshen up
czuć się lepiej	to feel better
trening	a workout
Mimo że...	Although...
nienawidzić papierkowej roboty	to hate paperwork
iść do więzienia	to go to jail; to go to prison
u twojego znajomego	at your friend's
u ciebie	at your place
być śpiącym	to be sleepy
być niecierpliwym	to be impatient
zrozumiałe wypowiedź	an understandable statement
zwalać winę na kogoś	to put the blame on sb
zalegać z czynszem	to fall behind with the rent
mieć problemy finansowe	to have financial problems
inni	others
być w pobliżu	to be around
wykonywać zadanie (nie: do, accomplish, complete)	to carry out a task
schrzanić coś	to screw sth up
schrzaniać prezentację	to screw up a presentation
podwyżka	a pay-raise
spotkanie zespołu	a team meeting
gromadzić się	to pile up
zauważać błąd	to notice a mistake
przeglądać dane	to go through data
Zauważyłem, że...	I've noticed that...
wytropić przestępcę	to track down a criminal
rzucać szkołę	to drop out of school
zaczynać zajmować się polityką	to go into politics
wystawiać rachunek	to make out a bill
proponować pomysł	to put forward an idea
zaproszenie na ślub	an invitation to a wedding
odrzucać zaproszenie	to turn down an invitation
były mąż	an ex-husband
słuchać czyjejś rady	to listen to sb's advice
słuchać swoich rodziców	to listen to your parents
słuchać starszych	to listen to the elders
słuchać podcastu	to listen to a podcast
słuchać wykładu	to listen to a lecture
słuchać wywiadu	to listen to an interview
słuchać piosenki	to listen to a song
słuchać playlisty	to listen to a playlist
słuchać rozmowy	to listen to a conversation
słuchać radia	to listen to the radio
słuchać swojego serca	to listen to your heart
słuchać czyjegoś głosu	to listen to sb's voice
słuchać ptaków	to listen to birds
słuchać audiobooka	to listen to an audiobook
słuchać swojego nauczyciela	to listen to your teacher
słuchać swojej intuicji	to listen to your intuition
słuchać swojego ciała	to listen to your body
słuchać swojego przeczucia	to listen to your gut
serial	a TV series
oglądać serial	to watch a TV series
nie okazywać zainteresowania czymś	to show no interest in sth
tracić zainteresowanie czymś	to lose interest in sth
obwiniać kogoś o coś	to blame sb for sth
uwodzić kogoś	to seduce sb
wyskakiwać (o powiadomieniu)	to pop up
być podatnym na coś (nie: susceptible)	to be prone to sth
przemoc	violence
nie mieć empatii	to lack empathy
wpływać na kogoś	to influence sb; to affect sb
być energicznym	to be energetic
natknąć się na coś	to come across sth
sprawdzać coś (nie: check, try)	to look into sth
analizować raport	to look into a report
przeprowadzać dochodzenie	to carry out an investigation
robić coś poprawnie	to do sth properly
podgrzewać jedzenie	to heat up the food
wkurzać kogoś	to piss sb off
praca (zadanie)	an assignment
gasić papierosa	to put out a cigarette
zapisywać coś [2]	to write sth down; to take sth down
rezygnować z czegoś	to resign from sth
znosić kogoś	to put up with sb
ostatnim razem	last time
detonować bombę	to let off a bomb
zatrzymywać kogoś (nie: pull over)	to stop sb
kilka razy	a few times
wykańczać kogoś (o stresie)	to wear sb down
przestawać mówić	to stop talking
czytać dalej	to keep reading
umawiać się z kimś (na randkę)	to ask sb out
koleś	a guy
przechodzić przez procedurę	to go through a procedure
odrzucać ofertę	to turn down an offer
inhalacja	inhalation
mieć wiele wspólnego	to have a lot in common
poznawać się lepiej	to get to know each other better
od czasu do czasu (nie: time)	every now and then
parę razy	a couple of times
być czyimś mężem (lub żoną)	to be married to sb
być z kimś w kontakcie	to be in touch with sb
posiadać psa (nie: possess)	to own a dog
posiadać coś (nie: possess)	to own sth
przyjeżdżać na miejsce zbrodni	to come to a crime scene
właściciel sklepu	a store owner
syn	a son
rzucać studia	to drop out of college
uwydatniać smak	to bring out the flavor
danie	a dish
przyprawy	spices
zadawać głupie pytania	to ask stupid questions
wykład	a lecture
startować (o samolocie)	to take off
pojawiać się na lotnisku	to show up at the airport
uzależniać się	to fall into addiction
przynosić sukces	to bring about success
zmiana	a change
drukować wypracowanie	to print out an essay
nakładać krem	to put on cream
zapominać o kimś	to get over sb
były	an ex
odrzucać wniosek	to turn down an application
zajmować miejsce (o przedmiocie)	to take up space
godzić się z kimś	to make up with sb
odjeżdżać (nie: away)	to drive off
dalej czytać książkę	to keep on reading a book
nadrabiać stracony czas	to make up for lost time
oddzwaniać do kogoś	to call sb back
kontaktować się z kimś	to contact sb
dyskryminować kogoś	to discriminate against sb
na pierwszym piętrze	on the second floor
na parterze	on the first floor
składać coś (montować)	to put sth together
być cennym	to be valuable
składać komuś wizytę	to pay sb a visit
na Nextfliksie	on Nextflix
obchodzić żałobę	to mourn
laboratorium	a lab
uczeń	a student
przeprowadzać eksperyment	to carry out an experiment
zagadywać do kogoś	to chat sb up
pracownik	an employee
fałszywa faktura	a fake invoice
kąpać się	to take a bath
wrzucać na luz	to wind down
przechodzić przez formalności	to go through formalities
wyglądać młodo	to look young
sprawdzać coś w internecie	to look sth up on the internet
przyjmować rolę	to take on a role
zdzierać z kogoś	to rip sb off
odpuszczać	to let go
ludzie	people
setki klientów	hundreds of clients
bank	a bank
rozpoczynać zajęcia taneczne	to take up dance classes
być zamieszanym w coś	to be mixed up in sth
spać u twojej koleżanki	to sleep at your friend's
wzrastać o jeden procent	to grow by one percent
być żałosnym	to be pathetic
świrować na punkcie czegoś	to freak out about sth
być łagodnym wobec kogoś	to be easy on sb
być ostrym wobec kogoś	to be hard on sb
zawozić kogoś do domu	to take sb home
utknąć w biurze	to get stuck in the office
przygotowywać się do prezentacji	to get prepared for a presentation
uzgadniać coś z wyprzedzeniem	to agree on sth ahead of time
wyjątek od reguły	an exception to the rule
robić wyjątek	to make an exception
wyjątek	an exception
w drodze wyjątku	as an exception
robić dla kogoś wyjątek	to make an exception for sb
wykonywać wiele zadań jednocześnie	to multitask
spełniać czyjeś standardy	to live up to sb's standards
spełniać coś	to live up to sth
krytyka	criticism
zaleta	a strength
używać siły	to use force
być szanowanym	to be respected
Nawet jeśli...	Even if...
powód czegoś	a reason for sth
wracać do pracy	to come back to work
do końca miesiąca	by the end of the month
Mam nadzieję, że...	I hope that...
dowiadywać się prawdy	to find out the truth
obiecywać coś	to promise sth
zdrowieć	to get better
być wściekłym	to be furious
